"year","teamid","rank","games","wins","loses","WSWin","runs","at_basts","hits","doubles","triples","home_runs","walks","strikeouts","stolen_bases","caught_stealing","sacrifice_flies","runs_against","earned_runs","earned_run_average","errors","fielding_percentage"
1992,"MON",2,162,87,75,"N",648,5477,1381,263,37,102,463,976,196,"63","",581,530,3.25,124,0.98
1992,"NYA",4,162,76,86,"N",733,5593,1462,281,18,163,536,903,78,"37","",746,679,4.21,112,0.982
1992,"NYN",5,162,72,90,"N",599,5340,1254,259,17,93,572,956,129,"52","",653,588,3.66,116,0.981
1992,"OAK",1,162,96,66,"N",745,5387,1389,219,24,142,707,831,143,"59","",672,600,3.73,125,0.979
1992,"PHI",6,162,70,92,"N",686,5500,1392,255,36,118,509,1059,127,"31","",717,652,4.11,131,0.978
1992,"PIT",1,162,96,66,"N",693,5527,1409,272,54,106,569,872,110,"53","",595,551,3.35,101,0.984
1992,"SDN",3,162,82,80,"N",617,5476,1396,255,30,135,453,864,69,"52","",636,578,3.56,115,0.982
1992,"SEA",7,162,64,98,"N",679,5564,1466,278,24,149,474,841,100,"55","",799,731,4.55,112,0.982
1992,"SFN",5,162,72,90,"N",574,5456,1330,220,36,105,435,1067,112,"64","",647,586,3.61,111,0.982
1992,"SLN",3,162,83,79,"N",631,5594,1464,262,44,94,495,996,208,"118","",604,556,3.38,91,0.985
1992,"TEX",4,162,77,85,"N",682,5537,1387,266,23,159,550,1036,81,"44","",753,663,4.09,153,0.975
1992,"TOR",1,162,96,66,"Y",780,5536,1458,265,40,163,561,933,129,"39","",682,626,3.91,93,0.985
1993,"ATL",1,162,104,58,"N",767,5515,1444,239,29,169,560,946,125,"48","",559,508,3.14,108,0.983
1993,"BAL",3,162,85,77,"N",786,5508,1470,287,24,157,655,930,73,"54","",745,691,4.31,100,0.984
1993,"BOS",5,162,80,82,"N",686,5496,1451,319,29,114,508,871,73,"38","",698,608,3.77,122,0.98
1993,"CAL",5,162,71,91,"N",684,5391,1399,259,24,114,564,930,169,"100","",770,690,4.34,120,0.98
1993,"CHA",1,162,94,68,"N",776,5483,1454,228,44,162,604,834,106,"57","",664,598,3.7,112,0.982
1993,"CHN",4,163,84,78,"N",738,5627,1521,259,32,161,446,923,100,"43","",739,673,4.18,115,0.982
1993,"CIN",5,162,73,89,"N",722,5517,1457,261,28,137,485,1025,142,"59","",785,719,4.51,120,0.98
1993,"CLE",6,162,76,86,"N",790,5619,1547,264,31,141,488,843,159,"55","",813,735,4.58,148,0.976
1993,"COL",6,162,67,95,"N",758,5517,1507,278,59,142,388,944,146,"90","",967,860,5.41,167,0.973
1993,"DET",3,162,85,77,"N",899,5620,1546,282,38,178,765,1122,104,"63","",837,742,4.65,132,0.979
1993,"FLO",6,162,64,98,"N",581,5475,1356,197,31,94,498,1054,117,"56","",724,661,4.13,122,0.98
1993,"HOU",3,162,85,77,"N",716,5464,1459,288,37,138,497,911,103,"60","",630,559,3.49,125,0.979
1993,"KCA",3,162,84,78,"N",675,5522,1455,294,35,125,428,936,100,"75","",694,649,4.04,96,0.984
1993,"LAN",4,162,81,81,"N",675,5588,1458,234,28,130,492,937,126,"61","",662,572,3.5,132,0.979
1993,"MIN",5,162,71,91,"N",693,5601,1480,261,27,121,493,850,83,"59","",830,756,4.71,100,0.984
